DATE,TIME,実績(万kW)
2016/5/3,22:00,2491
2016/5/3,23:00,2341
2016/5/4,0:00,2152
2016/5/4,1:00,2061
2016/5/4,2:00,2046
2016/5/4,3:00,2065
2016/5/4,4:00,2077
2016/5/4,5:00,2101
2016/5/4,6:00,2144
2016/5/4,7:00,2230
2016/5/4,8:00,2323
2016/5/4,9:00,2464
2016/5/4,10:00,2524
2016/5/4,11:00,2629
2016/5/4,12:00,2649
2016/5/4,13:00,2660
2016/5/4,14:00,2645
2016/5/4,15:00,2629
2016/5/4,16:00,2673
2016/5/4,17:00,2711
2016/5/4,18:00,2815
2016/5/4,19:00,2848
2016/5/4,20:00,2741
2016/5/4,21:00,2590
2016/5/4,22:00,2436
2016/5/4,23:00,2297
2016/5/5,0:00,2154
2016/5/5,1:00,2043
2016/5/5,2:00,2028
2016/5/5,3:00,2049
2016/5/5,4:00,2057
2016/5/5,5:00,2037
2016/5/5,6:00,2094
2016/5/5,7:00,2212
2016/5/5,8:00,2384
2016/5/5,9:00,2550
2016/5/5,10:00,2613
2016/5/5,11:00,2649
2016/5/5,12:00,2607
2016/5/5,13:00,2641
2016/5/5,14:00,2663
2016/5/5,15:00,2664
2016/5/5,16:00,2702
2016/5/5,17:00,2735
2016/5/5,18:00,2850
2016/5/5,19:00,2884
2016/5/5,20:00,2772
2016/5/5,21:00,2620
2016/5/5,22:00,2458
2016/5/5,23:00,2282
2016/5/6,0:00,2112
2016/5/6,1:00,2018
2016/5/6,2:00,2027
2016/5/6,3:00,2053
2016/5/6,4:00,2101
2016/5/6,5:00,2140
2016/5/6,6:00,2306
2016/5/6,7:00,2515
2016/5/6,8:00,2761
2016/5/6,9:00,3003
2016/5/6,10:00,3086
2016/5/6,11:00,3150
2016/5/6,12:00,3066
2016/5/6,13:00,3175
2016/5/6,14:00,3200
2016/5/6,15:00,3162
2016/5/6,16:00,3187
2016/5/6,17:00,3195
2016/5/6,18:00,3225
2016/5/6,19:00,3110
2016/5/6,20:00,2939
2016/5/6,21:00,2773
2016/5/6,22:00,2695
2016/5/6,23:00,2521
2016/5/7,0:00,2329
2016/5/7,1:00,2210
2016/5/7,2:00,2181
2016/5/7,3:00,2194
2016/5/7,4:00,2195
2016/5/7,5:00,2182
2016/5/7,6:00,2257
2016/5/7,7:00,2417
2016/5/7,8:00,2692
2016/5/7,9:00,2924
2016/5/7,10:00,2989
2016/5/7,11:00,3006
2016/5/7,12:00,2968
2016/5/7,13:00,3059
2016/5/7,14:00,3085
2016/5/7,15:00,3059
2016/5/7,16:00,3067
2016/5/7,17:00,3026
2016/5/7,18:00,3124
2016/5/7,19:00,3096
2016/5/7,20:00,2934
2016/5/7,21:00,2756
2016/5/7,22:00,2670
2016/5/7,23:00,2514
2016/5/8,0:00,2286
2016/5/8,1:00,2171
2016/5/8,2:00,2157
2016/5/8,3:00,2175
2016/5/8,4:00,2172
2016/5/8,5:00,2127
2016/5/8,6:00,2155
2016/5/8,7:00,2245
2016/5/8,8:00,2383
2016/5/8,9:00,2539
2016/5/8,10:00,2644
2016/5/8,11:00,2706
2016/5/8,12:00,2715
2016/5/8,13:00,2720
2016/5/8,14:00,2702
2016/5/8,15:00,2678
2016/5/8,16:00,2698
2016/5/8,17:00,2761
2016/5/8,18:00,2922
2016/5/8,19:00,2964
2016/5/8,20:00,2851
2016/5/8,21:00,2709
2016/5/8,22:00,2555
2016/5/8,23:00,2393
2016/5/9,0:00,2220
2016/5/9,1:00,2117
2016/5/9,2:00,2119
2016/5/9,3:00,2161
2016/5/9,4:00,2204
2016/5/9,5:00,2251
2016/5/9,6:00,2442
2016/5/9,7:00,2666
2016/5/9,8:00,2958
2016/5/9,9:00,3243
2016/5/9,10:00,3365
2016/5/9,11:00,3403
2016/5/9,12:00,3271
2016/5/9,13:00,3411
2016/5/9,14:00,3423
2016/5/9,15:00,3384
2016/5/9,16:00,3376
2016/5/9,17:00,3338
2016/5/9,18:00,3352
2016/5/9,19:00,3227
2016/5/9,20:00,3067
2016/5/9,21:00,2906
2016/5/9,22:00,2811
2016/5/9,23:00,2628
2016/5/10,0:00,2427
2016/5/10,1:00,2310
2016/5/10,2:00,2287
2016/5/10,3:00,2316
2016/5/10,4:00,2355
2016/5/10,5:00,2408
2016/5/10,6:00,2595
2016/5/10,7:00,2824
2016/5/10,8:00,3121
2016/5/10,9:00,3417
2016/5/10,10:00,3495
2016/5/10,11:00,3484
2016/5/10,12:00,3336
2016/5/10,13:00,3491
2016/5/10,14:00,3534
2016/5/10,15:00,3489
2016/5/10,16:00,3482
2016/5/10,17:00,3439
2016/5/10,18:00,3447
2016/5/10,19:00,3306
2016/5/10,20:00,3126
2016/5/10,21:00,2949
2016/5/10,22:00,2854
2016/5/10,23:00,2685
2016/5/11,0:00,2484
2016/5/11,1:00,2353
2016/5/11,2:00,2331
2016/5/11,3:00,2342
2016/5/11,4:00,2364
2016/5/11,5:00,2430
2016/5/11,6:00,2615
2016/5/11,7:00,2873
2016/5/11,8:00,3167
2016/5/11,9:00,3434
2016/5/11,10:00,3569
2016/5/11,11:00,3620
2016/5/11,12:00,3431
2016/5/11,13:00,3589
2016/5/11,14:00,3566
2016/5/11,15:00,3503
2016/5/11,16:00,3475
2016/5/11,17:00,3413
2016/5/11,18:00,3402
2016/5/11,19:00,3323
2016/5/11,20:00,3141
2016/5/11,21:00,2978
2016/5/11,22:00,2888
2016/5/11,23:00,2701
2016/5/12,0:00,2479
2016/5/12,1:00,2339
2016/5/12,2:00,2304
2016/5/12,3:00,2333
2016/5/12,4:00,2373
2016/5/12,5:00,2403
2016/5/12,6:00,2591
2016/5/12,7:00,2844
2016/5/12,8:00,3134
2016/5/12,9:00,3407
2016/5/12,10:00,3511
